ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,1522.4361655196158,1430.165360206498,1730.7310989890077,1522.4358239327496,1522.4365235138157,54.22415088660493,54.22415088660493,54.22415088660493,54.22415088660493,54.22415088660493,54.22415088660493,0.0,0.0,0.0,1576.6603164062208
2023-01-08,1525.0658546345066,1434.151654218488,1731.8790127539817,1525.0655009932084,1525.0662241252253,54.224150886339174,54.224150886339174,54.224150886339174,54.224150886339174,54.224150886339174,54.224150886339174,0.0,0.0,0.0,1579.2900055208459
2023-01-15,1527.6955437493975,1447.4236115400677,1727.318498958159,1527.6951788622991,1527.695927816972,54.2241508860734,54.2241508860734,54.2241508860734,54.2241508860734,54.2241508860734,54.2241508860734,0.0,0.0,0.0,1581.919694635471
2023-01-22,1530.3252328642884,1439.1957417875412,1737.973222411062,1530.3248604274465,1530.3256308070481,54.22415088649617,54.22415088649617,54.22415088649617,54.22415088649617,54.22415088649617,54.22415088649617,0.0,0.0,0.0,1584.5493837507845
2023-01-29,1532.9549219791793,1441.5731966794797,1730.4209577982415,1532.954541159912,1532.955332388629,54.22415088554188,54.22415088554188,54.22415088554188,54.22415088554188,54.22415088554188,54.22415088554188,0.0,0.0,0.0,1587.179072864721
2023-02-05,1535.5846110940702,1441.6224505796354,1732.6588565743878,1535.58421785315,1535.585034787302,54.224150885964654,54.224150885964654,54.224150885964654,54.224150885964654,54.224150885964654,54.224150885964654,0.0,0.0,0.0,1589.808761980035
2023-02-12,1538.2143002089613,1431.361548789386,1755.2656268486896,1538.2138935250139,1538.2147358276168,54.224150886299334,54.224150886299334,54.224150886299334,54.224150886299334,54.224150886299334,54.224150886299334,0.0,0.0,0.0,1592.4384510952607
2023-02-19,1540.8439893238522,1447.3528839845862,1744.408426683568,1540.843570843366,1540.8444373470927,54.22415088603358,54.22415088603358,54.22415088603358,54.22415088603358,54.22415088603358,54.22415088603358,0.0,0.0,0.0,1595.0681402098858
2023-02-26,1543.473678438743,1449.2675724300577,1747.996019801667,1543.4732460409527,1543.474141723508,54.22415088576781,54.22415088576781,54.22415088576781,54.22415088576781,54.22415088576781,54.22415088576781,0.0,0.0,0.0,1597.6978293245108
2023-03-05,1546.1033675536337,1453.8515745860582,1746.8365209472233,1546.102924624379,1546.1038439596118,54.224150886190564,54.224150886190564,54.224150886190564,54.224150886190564,54.224150886190564,54.224150886190564,0.0,0.0,0.0,1600.3275184398242
2023-03-12,1548.7330566685246,1462.7566753067679,1750.1177385050673,1548.732604112135,1548.7335453362673,54.224150886613316,54.224150886613316,54.224150886613316,54.224150886613316,54.224150886613316,54.224150886613316,0.0,0.0,0.0,1602.957207555138
2023-03-19,1551.3627457834154,1451.8203122800085,1765.6791547404373,1551.3622814309747,1551.36324370442,54.224150885659036,54.224150885659036,54.224150885659036,54.224150885659036,54.224150885659036,54.224150885659036,0.0,0.0,0.0,1605.5868966690746
2023-03-26,1553.9924348983063,1459.4348927234332,1748.5437534200241,1553.9919582197224,1553.992944125215,54.2241508860818,54.2241508860818,54.2241508860818,54.2241508860818,54.2241508860818,54.2241508860818,0.0,0.0,0.0,1608.2165857843881
2023-04-02,1556.6221240131972,1461.3164606548676,1767.889228291443,1556.6216397398784,1556.622646398898,54.2241508864165,54.2241508864165,54.2241508864165,54.2241508864165,54.2241508864165,54.2241508864165,0.0,0.0,0.0,1610.8462748996137
2023-04-09,1559.251813128088,1469.348456765578,1759.4848109178295,1559.251319745084,1559.2523482045865,54.22415088615074,54.22415088615074,54.22415088615074,54.22415088615074,54.22415088615074,54.22415088615074,0.0,0.0,0.0,1613.4759640142388
2023-04-16,1561.881502242979,1465.7531212351273,1762.662768663935,1561.8810019084715,1561.8820460903132,54.22415088588499,54.22415088588499,54.22415088588499,54.22415088588499,54.22415088588499,54.22415088588499,0.0,0.0,0.0,1616.1056531288639
2023-04-23,1564.51119135787,1475.4620409379083,1769.6580524060885,1564.5106823577398,1564.511748422431,54.224150886908205,54.224150886908205,54.224150886908205,54.224150886908205,54.224150886908205,54.224150886908205,0.0,0.0,0.0,1618.7353422447782
2023-04-30,1567.140880472761,1474.2861397046856,1765.722894993261,1567.140358749695,1567.1414517357262,54.224150885953904,54.224150885953904,54.224150885953904,54.224150885953904,54.224150885953904,54.224150885953904,0.0,0.0,0.0,1621.3650313587148
2023-05-07,1569.7705695876518,1471.440103068491,1773.470723186252,1569.7700344479056,1569.7711557967216,54.22415088637668,54.22415088637668,54.22415088637668,54.22415088637668,54.22415088637668,54.22415088637668,0.0,0.0,0.0,1623.9947204740286
2023-05-14,1572.4002587025427,1484.866522047844,1786.8740772976646,1572.3997092261093,1572.400855647471,54.2241508861109,54.2241508861109,54.2241508861109,54.2241508861109,54.2241508861109,54.2241508861109,0.0,0.0,0.0,1626.6244095886536
2023-05-21,1575.0299478174334,1482.0254796431,1789.053410960905,1575.029385924874,1575.0305550223577,54.224150886533664,54.224150886533664,54.224150886533664,54.224150886533664,54.224150886533664,54.224150886533664,0.0,0.0,0.0,1629.254098703967
2023-05-28,1577.6596369323242,1488.0692917872288,1782.1989294834586,1577.6590657548818,1577.660253841823,54.22415088557938,54.22415088557938,54.22415088557938,54.22415088557938,54.22415088557938,54.22415088557938,0.0,0.0,0.0,1631.8837878179036
2023-06-04,1580.2893260472151,1483.0815797578714,1778.6525342800605,1580.2887467608784,1580.2899499946443,54.22415088600214,54.22415088600214,54.22415088600214,54.22415088600214,54.22415088600214,54.22415088600214,0.0,0.0,0.0,1634.5134769332174
2023-06-11,1582.9190151621062,1501.3952609032408,1794.6318013245345,1582.9184229569164,1582.9196482997386,54.22415088633685,54.22415088633685,54.22415088633685,54.22415088633685,54.22415088633685,54.22415088633685,0.0,0.0,0.0,1637.1431660484432
